countryname,countrycode,co2,gdp,anio
Afganistán                                                            ,AFG ,13793.3670000,,1997
Angola                                                                ,AGO ,35275.1251000,514.2952232,1997
Albania                                                               ,ALB ,5246.1311000,717.3805674,1997
Andorra                                                               ,AND ,0.0000000,18353.0597200,1997
El mundo árabe                                                        ,ARB ,1743814.2100000,2319.4103490,1997
Emiratos Árabes Unidos                                                ,ARE ,104993.2009000,29512.6637400,1997
Argentina                                                             ,ARG ,311514.7000000,8213.1272000,1997
Armenia                                                               ,ARM ,6737.0420000,523.2830680,1997
Samoa Americana                                                       ,ASM ,23.9290422,,1997
Antigua y Barbuda                                                     ,ATG ,379.4216790,9492.0382560,1997
Australia                                                             ,AUS ,920773.4800000,23468.5968300,1997
Austria                                                               ,AUT ,85728.6120000,26705.4786000,1997
Curacao                                                               ,CUW ,0.0000000,,1997
Azerbaiyán                                                            ,AZE ,39953.3309000,505.5637747,1997
Burundi                                                               ,BDI ,6229.0728000,158.9146699,1997
Bélgica                                                               ,BEL ,152174.8110000,24820.9380500,1997
Benin                                                                 ,BEN ,49501.7420000,361.1002698,1997
Burkina Faso                                                          ,BFA ,45357.7180000,229.4931177,1997
Bangladesh                                                            ,BGD ,129129.5060000,401.4986908,1997
Bulgaria                                                              ,BGR ,71902.2765000,1361.3923860,1997
Bahrein                                                               ,BHR ,0.0000000,10672.1660100,1997
Bahamas                                                               ,BHS ,3683.2575700,22036.4841100,1997
Bosnia y Herzegovina                                                  ,BIH ,14843.3063000,982.8018491,1997
Belarús                                                               ,BLR ,87300.0910000,1396.5017860,1997
Belice                                                                ,BLZ ,923.1357200,2952.9485960,1997
Bermudas                                                              ,BMU ,461.7182860,48478.8832500,1997
Bolivia                                                               ,BOL ,136014.8680000,998.5153242,1997
Brasil                                                                ,BRA ,2263725.6300000,5282.0088280,1997
Barbados                                                              ,BRB ,1208.6628600,9315.8286180,1997
Brunei Darussalam                                                     ,BRN ,17789.1840000,16660.3612500,1997
Bhután                                                                ,BTN ,1943.0863200,663.3288566,1997
Botswana                                                              ,BWA ,34293.8671000,3258.9803120,1997
República Centroafricana                                              ,CAF ,548910.5340000,276.4212702,1997
Canadá                                                                ,CAN ,1129087.1100000,21829.2334400,1997
Europa Central y del Báltico                                          ,CEB ,992611.9161000,3739.6334760,1997
Suiza                                                                 ,CHE ,54369.6797000,40417.9622800,1997
Islas del Canal                                                       ,CHI ,0.0000000,,1997
Islas Caimán                                                          ,CYM ,0.0000000,,1997
Chile                                                                 ,CHL ,91627.8920000,5745.3737950,1997
China                                                                 ,CHN ,5141402.7000000,781.7441643,1997
Côte d'Ivoire                                                         ,CIV ,24962.9600000,774.7276313,1997
Camerún                                                               ,CMR ,157727.2890000,755.2397068,1997
"Congo, República Democrática del                                      ",COD ,1014212.2400000,138.9740464,1997
"Congo, República del                                                  ",COG ,32353.0970000,810.0774920,1997
Colombia                                                              ,COL ,165331.7040000,2827.3797520,1997
Comoras                                                               ,COM ,341.6331900,726.0552078,1997
Cabo Verde                                                            ,CPV ,263.8103700,1213.5998410,1997
Costa Rica                                                            ,CRI ,10575.3377000,3375.1663410,1997
Estados pequeos del Caribe                                            ,CSS ,55852.5565600,4417.5513320,1997
Cuba                                                                  ,CUB ,46514.6840000,2308.1461950,1997
Chipre                                                                ,CYP ,7355.1402200,14234.2443800,1997
República Checa                                                       ,CZE ,146940.0150000,5996.8338100,1997
Alemania                                                              ,DEU ,1060398.2570000,26964.0494700,1997
Djibouti                                                              ,DJI ,1994.5861900,760.6350212,1997
Dominica                                                              ,DMA ,136.8510600,4291.6923070,1997
Dinamarca                                                             ,DNK ,76245.0030000,32835.9399400,1997
República Dominicana                                                  ,DOM ,26833.0450000,2476.1134400,1997
Argelia                                                               ,DZA ,126561.2460000,1619.8062240,1997
Asia oriental y el Pacífico (excluido altos ingresos)                 ,EAP ,8066715.3960000,888.5037317,1997
inicial del dividendo demográfico                                     ,EAR ,8593969.9700000,1241.8994130,1997
Asia oriental y el Pacífico                                           ,EAS ,11174622.3900000,3854.1023110,1997
Europa y Asia central (excluido altos ingresos)                       ,ECA ,4944998.1890000,2067.2146030,1997
Europa y Asia central                                                 ,ECS ,10186397.9700000,12247.4103400,1997
Ecuador                                                               ,ECU ,40663.0240000,2356.3708430,1997
"Egipto, República Árabe de                                            ",EGY ,170721.5660000,1208.7199010,1997
Zona del Euro                                                         ,EMU ,3457883.3320000,21810.2875100,1997
Eritrea                                                               ,ERI ,4670.6717000,312.7262470,1997
España                                                                ,ESP ,343785.3370000,14730.7971800,1997
Estonia                                                               ,EST ,19347.2330000,3678.1582640,1997
Etiopía                                                               ,ETH ,190909.5900000,141.5086199,1997
Unión Europea                                                         ,EUU ,4477948.0390000,18087.0964800,1997
Frágiles y situaciones de conflicto afectados                         ,FCS ,4324603.9910000,685.1210765,1997
Finlandia                                                             ,FIN ,77932.9680000,24691.8728100,1997
Fiji                                                                  ,FJI ,2322.7131000,2641.4778660,1997
Francia                                                               ,FRA ,577851.5410000,24228.9423500,1997
Islas Feroe                                                           ,FRO ,0.0000000,,1997
Micronesia (Estados Federados de)                                     ,FSM ,0.0000000,1904.7409660,1997
Gabón                                                                 ,GAB ,38130.0347000,4667.1685850,1997
Reino Unido                                                           ,GBR ,705167.7100000,26734.5626100,1997
Georgia                                                               ,GEO ,11244.9656300,807.0322858,1997
Ghana                                                                 ,GHA ,130472.4890000,384.7961564,1997
Gibraltar                                                             ,GIB ,334.2546960,,1997
Guinea                                                                ,GIN ,116336.8000000,493.8334004,1997
Gambia                                                                ,GMB ,2088.6459000,669.3988656,1997
Guinea-Bissau                                                         ,GNB ,6512.3608000,237.1290304,1997
Guinea Ecuatorial                                                     ,GNQ ,3524.9986900,824.5495461,1997
Grecia                                                                ,GRC ,113865.0270000,13427.8324900,1997
Granada                                                               ,GRD ,205.6029120,3861.3978220,1997
Groenlandia                                                           ,GRL ,0.0000000,19145.4960400,1997
Guatemala                                                             ,GTM ,87558.7120000,1649.0016020,1997
Guam                                                                  ,GUM ,66.9673340,,1997
Guyana                                                                ,GUY ,12863.5280000,988.3478364,1997
Ingreso alto                                                          ,HIC ,16980318.3300000,23768.1796600,1997
"Hong Kong, Región Administrativa Especial                             ",HKG ,46025.2076000,27330.0333500,1997
Honduras                                                              ,HND ,22838.1920000,948.9555550,1997
Países pobres muy endeudados (PPME)                                   ,HPC ,4688341.2810000,336.6507265,1997
